material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9146,100000,9146,90854,0
Fuse,9206,100000,9206,90794,0
PCB,9146,100000,9146,90854,0
Top cover,9146,100000,9146,90854,0
