unit_id,variant,transport_index,transport_name,from_station,to_station,start_time_s,finish_time_s,transport_time_s
U001,FUSE2,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,6.6,16.9,10.3
U002,FUSE2,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,13.2,23.5,10.3
U001,FUSE2,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,27.3,55.3,28.0
U002,FUSE2,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,37.7,65.7,28.0
U001,FUSE2,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,139.8,153.3,13.5
U001,FUSE2,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,155.4,165.8,10.4
U001,FUSE2,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,170.4,205.2,34.8
U002,FUSE2,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,224.3,237.8,13.5
U002,FUSE2,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,239.9,250.3,10.4
U002,FUSE2,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,254.9,289.7,34.8
